Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Ankylosauria,Aletopelta,coombsi,Aletopelta,coombsi,SDNHM 33909,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560+,510+,600e,,,,,,,,,,390e,360e,,310,320,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,7,3,4,
Ankylosauria,Animantarx,ramaljonesi,Animantarx,ramaljonesi,CEUM 6228R,Carpenter et al 1999,246,,,,,240e,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,Christian Foth,,,,,,3,1,2,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,AMNH 5214,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,136.8,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,3,3,0,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,AMNH 5214,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,363,,,136.8,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,AMNH 5214,"Varialle, pers. obs.",,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank J. Varriale,N/A,,,,,,,2,1,1,
Ankylosauria,,,Ankylosaurus,magniventris,AMNH 5214,combined,,,,,,,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673,,,363,,,137,,,76,,,,,,448,,,,150,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,7,4,3,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,AMNH 5214,Carpenter 2004,,,,,,,,,,,@,@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@,,,@,,,,,,,,,,,,@,,,,,@,,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,6,2,4,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,AMNH 5895,Brown 1908,201,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yves-Antoine Klein,Ville-Veikko Sinkkonen,,,,,,,1,0,1,
Ankylosauria,Ankylosaurus,magniventris,Ankylosaurus,magniventris,,Maleev 1954,4,,,,,,600,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Christian Foth,Henrique Niza,Jorge Câmara,,,,,3,0,3,
Ankylosauria,Dracopelta,zbyszewskii,Dracopelta,zbyszewskii,Holotype IGM 5787 - IGM 3,Pereda Suberbiola et al. 2005,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 /,12 /,,43 /,16 /,,,23 /,9 /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Foth,Rui Castanhinha,"Pereda-Suberbiola X, Dantas P, Galton PM, Sanz JL (2005) Autopodium of the holotype of Dracopelta zbyszewskii (Dinosauria, Ankylosauria) and its type horizon and locality (Upper Jurassic: Tithonian, western Portugal). Neues Jahrbuch für Geologie und Paläontologie, Abh. 235 (2): 175-196.",,,,,,6,0,6,
